,LSOA21CD,LSOA21NM,Fuel,Keepership,2021 Q1
131754,E01007961,Sheffield 033D,Total,Private,10
131755,E01007962,Sheffield 029C,Total,Private,[c]
131756,E01007963,Sheffield 045A,Total,Private,[c]
131757,E01007964,Sheffield 049A,Total,Private,[c]
131758,E01007965,Sheffield 044A,Total,Private,0
131759,E01007966,Sheffield 049B,Total,Private,[c]
131760,E01007967,Sheffield 045B,Total,Private,0
131761,E01007968,Sheffield 049C,Total,Private,[c]
131762,E01007969,Sheffield 044B,Total,Private,0
131763,E01007971,Sheffield 037C,Total,Private,[c]
131764,E01007972,Sheffield 044C,Total,Private,[c]
131765,E01007973,Sheffield 037D,Total,Private,[c]
131766,E01007974,Sheffield 044D,Total,Private,[c]
131767,E01007975,Sheffield 051A,Total,Private,[c]
131768,E01007976,Sheffield 051B,Total,Private,5
131769,E01007977,Sheffield 051C,Total,Private,[c]
131770,E01007978,Sheffield 053A,Total,Private,[c]
131771,E01007980,Sheffield 053B,Total,Private,[c]
131772,E01007981,Sheffield 053C,Total,Private,[c]
131773,E01007982,Sheffield 054A,Total,Private,5
131774,E01007983,Sheffield 053D,Total,Private,[c]
131775,E01007984,Sheffield 064D,Total,Private,6
131776,E01007985,Sheffield 053E,Total,Private,[c]
131777,E01007986,Sheffield 059E,Total,Private,[c]
131778,E01007987,Sheffield 016A,Total,Private,[c]
131779,E01007988,Sheffield 016B,Total,Private,[c]
131780,E01007989,Sheffield 016C,Total,Private,[c]
131781,E01007990,Sheffield 021A,Total,Private,5
131782,E01007991,Sheffield 016D,Total,Private,5
131783,E01007992,Sheffield 021B,Total,Private,[c]
131784,E01007993,Sheffield 021C,Total,Private,[c]
131785,E01007994,Sheffield 021D,Total,Private,[c]
131786,E01007995,Sheffield 017A,Total,Private,[c]
131787,E01007996,Sheffield 021E,Total,Private,[c]
131788,E01007997,Sheffield 025A,Total,Private,[c]
131789,E01007998,Sheffield 025B,Total,Private,0
131790,E01007999,Sheffield 045C,Total,Private,[c]
131791,E01008000,Sheffield 052A,Total,Private,[c]
131792,E01008001,Sheffield 052B,Total,Private,0
131793,E01008002,Sheffield 054B,Total,Private,[c]
131794,E01008003,Sheffield 054C,Total,Private,[c]
131795,E01008004,Sheffield 052C,Total,Private,0
131796,E01008005,Sheffield 052D,Total,Private,[c]
131797,E01008006,Sheffield 054D,Total,Private,[c]
131798,E01008007,Sheffield 060A,Total,Private,[c]
131799,E01008008,Sheffield 045D,Total,Private,[c]
131800,E01008009,Sheffield 045E,Total,Private,0
131801,E01008010,Sheffield 052E,Total,Private,[c]
131802,E01008011,Sheffield 039A,Total,Private,[c]
131803,E01008012,Sheffield 039B,Total,Private,[c]
131804,E01008013,Sheffield 039C,Total,Private,[c]
131805,E01008014,Sheffield 032E,Total,Private,0
131806,E01008015,Sheffield 039D,Total,Private,[c]
131807,E01008016,Sheffield 032F,Total,Private,[c]
131808,E01008017,Sheffield 039E,Total,Private,[c]
131809,E01008018,Sheffield 039F,Total,Private,[c]
131810,E01008019,Sheffield 065A,Total,Private,5
131811,E01008020,Sheffield 065B,Total,Private,[c]
131812,E01008021,Sheffield 072A,Total,Private,7
131813,E01008023,Sheffield 072B,Total,Private,6
131814,E01008024,Sheffield 072C,Total,Private,[c]
131815,E01008025,Sheffield 072D,Total,Private,5
131816,E01008027,Sheffield 065D,Total,Private,[c]
131817,E01008028,Sheffield 056A,Total,Private,0
131818,E01008029,Sheffield 056B,Total,Private,[c]
131819,E01008030,Sheffield 063A,Total,Private,[c]
131820,E01008031,Sheffield 061A,Total,Private,[c]
131821,E01008032,Sheffield 056C,Total,Private,[c]
131822,E01008033,Sheffield 061B,Total,Private,8
131823,E01008034,Sheffield 056D,Total,Private,[c]
131824,E01008035,Sheffield 063B,Total,Private,5
131825,E01008036,Sheffield 063C,Total,Private,6
131826,E01008037,Sheffield 065E,Total,Private,[c]
131827,E01008038,Sheffield 061C,Total,Private,[c]
131828,E01008039,Sheffield 065F,Total,Private,[c]
131829,E01008040,Sheffield 061D,Total,Private,9
131830,E01008041,Sheffield 063D,Total,Private,8
131831,E01008042,Sheffield 050A,Total,Private,[c]
131832,E01008043,Sheffield 046A,Total,Private,12
131833,E01008044,Sheffield 046B,Total,Private,17
131834,E01008045,Sheffield 050B,Total,Private,8
131835,E01008046,Sheffield 050C,Total,Private,[c]
131836,E01008047,Sheffield 046C,Total,Private,[c]
131837,E01008048,Sheffield 046D,Total,Private,18
131838,E01008049,Sheffield 050D,Total,Private,14
131839,E01008050,Sheffield 046E,Total,Private,5
131840,E01008051,Sheffield 050E,Total,Private,[c]
131841,E01008052,Sheffield 050F,Total,Private,8
131842,E01008053,Sheffield 006A,Total,Private,[c]
131843,E01008054,Sheffield 007B,Total,Private,0
131844,E01008055,Sheffield 007C,Total,Private,[c]
131845,E01008056,Sheffield 006B,Total,Private,[c]
131846,E01008057,Sheffield 007D,Total,Private,[c]
131847,E01008058,Sheffield 006C,Total,Private,[c]
131848,E01008059,Sheffield 010C,Total,Private,0
131849,E01008060,Sheffield 010D,Total,Private,[c]
131850,E01008061,Sheffield 011A,Total,Private,[c]
131851,E01008062,Sheffield 013E,Total,Private,0
131852,E01008063,Sheffield 011B,Total,Private,[c]
131853,E01008065,Sheffield 026A,Total,Private,[c]
131854,E01008066,Sheffield 028B,Total,Private,[c]
131855,E01008068,Sheffield 026B,Total,Private,0
131856,E01008069,Sheffield 028C,Total,Private,[c]
131857,E01008072,Sheffield 026C,Total,Private,[c]
131858,E01008073,Sheffield 030E,Total,Private,[c]
131859,E01008074,Sheffield 028D,Total,Private,8
131860,E01008076,Sheffield 060C,Total,Private,0
131861,E01008078,Sheffield 064E,Total,Private,9
131862,E01008079,Sheffield 064F,Total,Private,6
131863,E01008080,Sheffield 069D,Total,Private,[c]
131864,E01008084,Sheffield 070D,Total,Private,0
131865,E01008085,Sheffield 009A,Total,Private,[c]
131866,E01008086,Sheffield 009B,Total,Private,[c]
131867,E01008087,Sheffield 012A,Total,Private,[c]
131868,E01008088,Sheffield 012B,Total,Private,[c]
131869,E01008089,Sheffield 017B,Total,Private,[c]
131870,E01008090,Sheffield 012C,Total,Private,[c]
131871,E01008091,Sheffield 017C,Total,Private,[c]
131872,E01008093,Sheffield 017D,Total,Private,0
131873,E01008094,Sheffield 019D,Total,Private,[c]
131874,E01008095,Sheffield 043A,Total,Private,5
131875,E01008096,Sheffield 043B,Total,Private,5
131876,E01008097,Sheffield 043C,Total,Private,[c]
131877,E01008098,Sheffield 048A,Total,Private,0
131878,E01008099,Sheffield 051E,Total,Private,[c]
131879,E01008101,Sheffield 043D,Total,Private,[c]
131880,E01008102,Sheffield 048C,Total,Private,[c]
131881,E01008104,Sheffield 036E,Total,Private,8
131882,E01008105,Sheffield 040A,Total,Private,[c]
131883,E01008107,Sheffield 040C,Total,Private,0
131884,E01008108,Sheffield 042A,Total,Private,[c]
131885,E01008109,Sheffield 042B,Total,Private,0
131886,E01008111,Sheffield 040D,Total,Private,6
131887,E01008112,Sheffield 042D,Total,Private,[c]
131888,E01008113,Sheffield 042E,Total,Private,5
131889,E01008114,Sheffield 074A,Total,Private,0
131890,E01008115,Sheffield 074B,Total,Private,[c]
131891,E01008116,Sheffield 009C,Total,Private,0
131892,E01008117,Sheffield 009D,Total,Private,[c]
131893,E01008118,Sheffield 009E,Total,Private,[c]
131894,E01008119,Sheffield 009F,Total,Private,0
131895,E01008122,Sheffield 012E,Total,Private,[c]
131896,E01008123,Sheffield 015E,Total,Private,[c]
131897,E01008124,Sheffield 012F,Total,Private,[c]
131898,E01008125,Sheffield 009G,Total,Private,[c]
131899,E01008126,Sheffield 008A,Total,Private,9
131900,E01008128,Sheffield 008C,Total,Private,20
131901,E01008129,Sheffield 023A,Total,Private,9
131902,E01008130,Sheffield 023B,Total,Private,9
131903,E01008131,Sheffield 023C,Total,Private,[c]
131904,E01008132,Sheffield 023D,Total,Private,9
131905,E01008133,Sheffield 023E,Total,Private,6
131906,E01008134,Sheffield 005B,Total,Private,[c]
131907,E01008135,Sheffield 005C,Total,Private,5
131908,E01008136,Sheffield 008D,Total,Private,8
131909,E01008137,Sheffield 005D,Total,Private,[c]
131910,E01008138,Sheffield 006D,Total,Private,[c]
131911,E01008139,Sheffield 006E,Total,Private,[c]
131912,E01008140,Sheffield 008E,Total,Private,8
131913,E01008141,Sheffield 005E,Total,Private,6
131914,E01008142,Sheffield 002A,Total,Private,[c]
131915,E01008143,Sheffield 002B,Total,Private,[c]
131916,E01008144,Sheffield 001A,Total,Private,10
131917,E01008145,Sheffield 001B,Total,Private,[c]
131918,E01008146,Sheffield 002C,Total,Private,[c]
131919,E01008147,Sheffield 002D,Total,Private,8
131920,E01008148,Sheffield 001C,Total,Private,[c]
131921,E01008149,Sheffield 001D,Total,Private,[c]
131922,E01008150,Sheffield 001E,Total,Private,[c]
131923,E01008151,Sheffield 024A,Total,Private,[c]
131924,E01008152,Sheffield 025C,Total,Private,[c]
131925,E01008153,Sheffield 024B,Total,Private,[c]
131926,E01008154,Sheffield 024C,Total,Private,8
131927,E01008155,Sheffield 024D,Total,Private,[c]
131928,E01008156,Sheffield 024E,Total,Private,[c]
131929,E01008157,Sheffield 026D,Total,Private,[c]
131930,E01008158,Sheffield 025D,Total,Private,5
131931,E01008159,Sheffield 029D,Total,Private,6
131932,E01008160,Sheffield 024F,Total,Private,[c]
131933,E01008161,Sheffield 026E,Total,Private,[c]
154488,E01032585,Sheffield 072E,Total,Private,6
155007,E01033261,Sheffield 073A,Total,Private,0
155008,E01033262,Sheffield 073B,Total,Private,7
155009,E01033263,Sheffield 073C,Total,Private,[c]
155010,E01033264,Sheffield 073D,Total,Private,0
155011,E01033265,Sheffield 074C,Total,Private,[c]
155012,E01033268,Sheffield 075G,Total,Private,[c]
155013,E01033269,Sheffield 022G,Total,Private,[c]
155014,E01033271,Sheffield 040E,Total,Private,0
155015,E01033272,Sheffield 040F,Total,Private,[c]
155016,E01033274,Sheffield 042G,Total,Private,0
155017,E01033275,Sheffield 008F,Total,Private,5
155018,E01033276,Sheffield 073E,Total,Private,0
155019,E01033277,Sheffield 011E,Total,Private,[c]
155020,E01033279,Sheffield 076F,Total,Private,[c]
155021,E01033280,Sheffield 008G,Total,Private,7
156380,E01034842,Sheffield 022I,Total,Private,5
156381,E01034843,Sheffield 036F,Total,Private,14
156382,E01034844,Sheffield 074F,Total,Private,[c]
156383,E01034845,Sheffield 076G,Total,Private,[c]
156384,E01034846,Sheffield 076H,Total,Private,[c]
