,LSOA21CD,LSOA21NM,Fuel,Keepership,2025 Q1
131632,E01007823,Sheffield 069A,Total,Private,18
131633,E01007824,Sheffield 066A,Total,Private,32
131634,E01007825,Sheffield 066B,Total,Private,42
131635,E01007826,Sheffield 066C,Total,Private,39
131636,E01007827,Sheffield 064A,Total,Private,38
131637,E01007828,Sheffield 059A,Total,Private,18
131638,E01007829,Sheffield 059B,Total,Private,12
131639,E01007830,Sheffield 064B,Total,Private,21
131640,E01007831,Sheffield 059C,Total,Private,12
131641,E01007832,Sheffield 059D,Total,Private,15
131642,E01007833,Sheffield 064C,Total,Private,26
131643,E01007834,Sheffield 066D,Total,Private,16
131644,E01007835,Sheffield 062A,Total,Private,13
131645,E01007836,Sheffield 062B,Total,Private,15
131646,E01007838,Sheffield 076A,Total,Private,8
131647,E01007839,Sheffield 076B,Total,Private,16
131648,E01007841,Sheffield 076C,Total,Private,10
131649,E01007842,Sheffield 076D,Total,Private,5
131650,E01007843,Sheffield 062C,Total,Private,5
131651,E01007846,Sheffield 062D,Total,Private,15
131652,E01007847,Sheffield 014A,Total,Private,12
131653,E01007848,Sheffield 013A,Total,Private,8
131654,E01007849,Sheffield 010A,Total,Private,6
131655,E01007850,Sheffield 014B,Total,Private,9
131656,E01007851,Sheffield 013B,Total,Private,5
131657,E01007852,Sheffield 014C,Total,Private,10
131658,E01007853,Sheffield 014D,Total,Private,13
131659,E01007854,Sheffield 014E,Total,Private,15
131660,E01007855,Sheffield 014F,Total,Private,8
131661,E01007856,Sheffield 007A,Total,Private,7
131662,E01007857,Sheffield 010B,Total,Private,[c]
131663,E01007858,Sheffield 038A,Total,Private,37
131664,E01007861,Sheffield 038B,Total,Private,72
131665,E01007862,Sheffield 038C,Total,Private,24
131666,E01007863,Sheffield 036C,Total,Private,30
131667,E01007864,Sheffield 036D,Total,Private,6
131668,E01007865,Sheffield 038D,Total,Private,29
131669,E01007866,Sheffield 030A,Total,Private,23
131670,E01007867,Sheffield 030B,Total,Private,23
131671,E01007868,Sheffield 030C,Total,Private,33
131672,E01007869,Sheffield 020A,Total,Private,11
131673,E01007870,Sheffield 019A,Total,Private,9
131674,E01007871,Sheffield 019B,Total,Private,25
131675,E01007872,Sheffield 020B,Total,Private,10
131676,E01007873,Sheffield 020C,Total,Private,10
131677,E01007874,Sheffield 022A,Total,Private,6
131678,E01007875,Sheffield 022B,Total,Private,7
131679,E01007878,Sheffield 075A,Total,Private,9
131680,E01007879,Sheffield 075B,Total,Private,8
131681,E01007881,Sheffield 075C,Total,Private,10
131682,E01007882,Sheffield 075D,Total,Private,11
131683,E01007883,Sheffield 027A,Total,Private,10
131684,E01007885,Sheffield 075E,Total,Private,9
131685,E01007887,Sheffield 004A,Total,Private,17
131686,E01007888,Sheffield 003A,Total,Private,16
131687,E01007889,Sheffield 004B,Total,Private,52
131688,E01007890,Sheffield 004C,Total,Private,16
131689,E01007891,Sheffield 004D,Total,Private,28
131690,E01007892,Sheffield 003B,Total,Private,8
131691,E01007893,Sheffield 003C,Total,Private,19
131692,E01007894,Sheffield 004E,Total,Private,10
131693,E01007895,Sheffield 004F,Total,Private,14
131694,E01007896,Sheffield 004G,Total,Private,11
131695,E01007897,Sheffield 005A,Total,Private,11
131696,E01007898,Sheffield 003D,Total,Private,23
131697,E01007899,Sheffield 003E,Total,Private,27
131698,E01007900,Sheffield 003F,Total,Private,6
131699,E01007901,Sheffield 003G,Total,Private,7
131700,E01007902,Sheffield 027B,Total,Private,9
131701,E01007903,Sheffield 018A,Total,Private,10
131702,E01007904,Sheffield 018B,Total,Private,6
131703,E01007905,Sheffield 027C,Total,Private,9
131704,E01007906,Sheffield 027D,Total,Private,17
131705,E01007907,Sheffield 032A,Total,Private,[c]
131706,E01007908,Sheffield 032B,Total,Private,10
131707,E01007909,Sheffield 032C,Total,Private,29
131708,E01007910,Sheffield 037A,Total,Private,12
131709,E01007911,Sheffield 032D,Total,Private,19
131710,E01007912,Sheffield 037B,Total,Private,20
131711,E01007914,Sheffield 018D,Total,Private,8
131712,E01007915,Sheffield 071A,Total,Private,43
131713,E01007917,Sheffield 071B,Total,Private,24
131714,E01007918,Sheffield 071C,Total,Private,59
131715,E01007920,Sheffield 068A,Total,Private,87
131716,E01007921,Sheffield 068B,Total,Private,58
131717,E01007922,Sheffield 071D,Total,Private,37
131718,E01007923,Sheffield 068C,Total,Private,56
131719,E01007924,Sheffield 071E,Total,Private,20
131720,E01007925,Sheffield 068D,Total,Private,79
131721,E01007926,Sheffield 068E,Total,Private,106
131722,E01007927,Sheffield 055A,Total,Private,71
131723,E01007928,Sheffield 055B,Total,Private,76
131724,E01007929,Sheffield 055C,Total,Private,79
131725,E01007930,Sheffield 055D,Total,Private,75
131726,E01007931,Sheffield 047A,Total,Private,35
131727,E01007932,Sheffield 055E,Total,Private,44
131728,E01007933,Sheffield 068F,Total,Private,100
131729,E01007934,Sheffield 047B,Total,Private,31
131730,E01007935,Sheffield 047C,Total,Private,13
131731,E01007936,Sheffield 047D,Total,Private,6
131732,E01007937,Sheffield 047E,Total,Private,39
131733,E01007938,Sheffield 047F,Total,Private,41
131734,E01007939,Sheffield 055F,Total,Private,48
131735,E01007940,Sheffield 022E,Total,Private,6
131736,E01007941,Sheffield 015A,Total,Private,13
131737,E01007942,Sheffield 020D,Total,Private,9
131738,E01007943,Sheffield 019C,Total,Private,[c]
131739,E01007945,Sheffield 015B,Total,Private,5
131740,E01007947,Sheffield 013C,Total,Private,5
131741,E01007948,Sheffield 013D,Total,Private,[c]
131742,E01007949,Sheffield 020E,Total,Private,5
131743,E01007950,Sheffield 015D,Total,Private,5
131744,E01007951,Sheffield 029A,Total,Private,19
131745,E01007952,Sheffield 033A,Total,Private,51
131746,E01007953,Sheffield 033B,Total,Private,43
131747,E01007954,Sheffield 033C,Total,Private,40
131748,E01007955,Sheffield 041A,Total,Private,49
131749,E01007956,Sheffield 041B,Total,Private,95
131750,E01007957,Sheffield 041C,Total,Private,52
131751,E01007958,Sheffield 041D,Total,Private,65
131752,E01007959,Sheffield 041E,Total,Private,69
131753,E01007960,Sheffield 029B,Total,Private,12
131754,E01007961,Sheffield 033D,Total,Private,37
131755,E01007962,Sheffield 029C,Total,Private,10
131756,E01007963,Sheffield 045A,Total,Private,15
131757,E01007964,Sheffield 049A,Total,Private,8
131758,E01007965,Sheffield 044A,Total,Private,10
131759,E01007966,Sheffield 049B,Total,Private,19
131760,E01007967,Sheffield 045B,Total,Private,13
131761,E01007968,Sheffield 049C,Total,Private,7
131762,E01007969,Sheffield 044B,Total,Private,23
131763,E01007971,Sheffield 037C,Total,Private,12
131764,E01007972,Sheffield 044C,Total,Private,6
131765,E01007973,Sheffield 037D,Total,Private,15
131766,E01007974,Sheffield 044D,Total,Private,17
131767,E01007975,Sheffield 051A,Total,Private,5
131768,E01007976,Sheffield 051B,Total,Private,16
131769,E01007977,Sheffield 051C,Total,Private,7
131770,E01007978,Sheffield 053A,Total,Private,20
131771,E01007980,Sheffield 053B,Total,Private,8
131772,E01007981,Sheffield 053C,Total,Private,9
131773,E01007982,Sheffield 054A,Total,Private,23
131774,E01007983,Sheffield 053D,Total,Private,10
131775,E01007984,Sheffield 064D,Total,Private,27
131776,E01007985,Sheffield 053E,Total,Private,12
131777,E01007986,Sheffield 059E,Total,Private,9
131778,E01007987,Sheffield 016A,Total,Private,14
131779,E01007988,Sheffield 016B,Total,Private,15
131780,E01007989,Sheffield 016C,Total,Private,13
131781,E01007990,Sheffield 021A,Total,Private,24
131782,E01007991,Sheffield 016D,Total,Private,18
131783,E01007992,Sheffield 021B,Total,Private,11
131784,E01007993,Sheffield 021C,Total,Private,14
131785,E01007994,Sheffield 021D,Total,Private,9
131786,E01007995,Sheffield 017A,Total,Private,5
131787,E01007996,Sheffield 021E,Total,Private,23
131788,E01007997,Sheffield 025A,Total,Private,12
131789,E01007998,Sheffield 025B,Total,Private,14
131790,E01007999,Sheffield 045C,Total,Private,9
131791,E01008000,Sheffield 052A,Total,Private,9
131792,E01008001,Sheffield 052B,Total,Private,[c]
131793,E01008002,Sheffield 054B,Total,Private,26
131794,E01008003,Sheffield 054C,Total,Private,14
131795,E01008004,Sheffield 052C,Total,Private,7
131796,E01008005,Sheffield 052D,Total,Private,12
131797,E01008006,Sheffield 054D,Total,Private,13
131798,E01008007,Sheffield 060A,Total,Private,6
131799,E01008008,Sheffield 045D,Total,Private,6
131800,E01008009,Sheffield 045E,Total,Private,5
131801,E01008010,Sheffield 052E,Total,Private,11
131802,E01008011,Sheffield 039A,Total,Private,14
131803,E01008012,Sheffield 039B,Total,Private,14
131804,E01008013,Sheffield 039C,Total,Private,23
131805,E01008014,Sheffield 032E,Total,Private,6
131806,E01008015,Sheffield 039D,Total,Private,10
131807,E01008016,Sheffield 032F,Total,Private,7
131808,E01008017,Sheffield 039E,Total,Private,9
131809,E01008018,Sheffield 039F,Total,Private,18
131810,E01008019,Sheffield 065A,Total,Private,18
131811,E01008020,Sheffield 065B,Total,Private,9
131812,E01008021,Sheffield 072A,Total,Private,39
131813,E01008023,Sheffield 072B,Total,Private,61
131814,E01008024,Sheffield 072C,Total,Private,28
131815,E01008025,Sheffield 072D,Total,Private,30
131816,E01008027,Sheffield 065D,Total,Private,6
131817,E01008028,Sheffield 056A,Total,Private,8
131818,E01008029,Sheffield 056B,Total,Private,9
131819,E01008030,Sheffield 063A,Total,Private,17
